"","date","team1","team1_score","team2","team2_score","map","event","winner","win_margin"
"1","19/10/19","Windigo","11","HellRaisers","16","Inferno","ESL Pro League Season 10 Europe","HellRaisers",5
"2","19/10/19","HellRaisers","16","Windigo","14","Train","ESL Pro League Season 10 Europe","HellRaisers",2
"3","19/10/19","HAVU","12","CR4ZY","16","Dust2","DreamHack Open Rotterdam 2019","CR4ZY",4
"4","19/10/19","CR4ZY","5","HAVU","16","Train","DreamHack Open Rotterdam 2019","CR4ZY",11
"5","19/10/19","HAVU","10","CR4ZY","16","Inferno","DreamHack Open Rotterdam 2019","CR4ZY",6
"6","19/10/19","Natus Vincere","16","G2","13","Dust2","ESL Pro League Season 10 Europe","Natus Vincere",3
"7","19/10/19","Natus Vincere","14","G2","16","Mirage","ESL Pro League Season 10 Europe","G2",2
"8","19/10/19","Natus Vincere","16","G2","10","Overpass","ESL Pro League Season 10 Europe","Natus Vincere",6
"9","18/10/19","HellRaisers","10","G2","16","Dust2","ESL Pro League Season 10 Europe","G2",6
"10","18/10/19","HellRaisers","13","G2","16","Vertigo","ESL Pro League Season 10 Europe","G2",3
"11","18/10/19","HAVU","14","forZe","16","Nuke","DreamHack Open Rotterdam 2019","forZe",2
"12","18/10/19","Windigo","10","Natus Vincere","16","Inferno","ESL Pro League Season 10 Europe","Natus Vincere",6
"13","18/10/19","Natus Vincere","16","Windigo","7","Overpass","ESL Pro League Season 10 Europe","Windigo",9
"14","18/10/19","Heroic","14","AVANGAR","16","Inferno","DreamHack Open Rotterdam 2019","AVANGAR",2
"15","18/10/19","CR4ZY","13","HAVU","16","Dust2","DreamHack Open Rotterdam 2019","HAVU",3
"16","17/10/19","Windigo","13","G2","16","Nuke","ESL Pro League Season 10 Europe","G2",3
"17","17/10/19","Windigo","14","G2","16","Mirage","ESL Pro League Season 10 Europe","G2",2
"18","17/10/19","Heretics","12","pro100","16","Dust2","United Masters League Season 2 Qualifier 3","pro100",4
"19","17/10/19","Heretics","14","pro100","16","Vertigo","United Masters League Season 2 Qualifier 3","pro100",2
"20","17/10/19","Heretics","16","pro100","2","Inferno","United Masters League Season 2 Qualifier 3","pro100",14
"21","17/10/19","Movistar Riders","14","Heretics","16","Inferno","United Masters League Season 2 Qualifier 3","Heretics",2
"22","17/10/19","Natus Vincere","16","HellRaisers","7","Dust2","ESL Pro League Season 10 Europe","HellRaisers",9
"23","17/10/19","Natus Vincere","16","HellRaisers","7","Inferno","ESL Pro League Season 10 Europe","HellRaisers",9
"24","17/10/19","Virtus.pro","13","GamerLegion","16","Mirage","ESEA MDL Season 32 Europe","GamerLegion",3
"25","17/10/19","pro100","16","Movistar Riders","10","Train","United Masters League Season 2 Qualifier 3","pro100",6
"26","17/10/19","Renegades","12","Liquid","16","Inferno","ESL Pro League Season 10 Americas","Liquid",4
"27","17/10/19","Liquid","16","Renegades","7","Mirage","ESL Pro League Season 10 Americas","Renegades",9
"28","16/10/19","North","16","Aristocracy","0","Overpass","ESL Pro League Season 10 Europe","North",16
"29","16/10/19","Aristocracy","16","North","8","Train","ESL Pro League Season 10 Europe","North",8
"30","16/10/19","North","16","Aristocracy","12","Nuke","ESL Pro League Season 10 Europe","North",4
"31","16/10/19","BIG","3","NiP","16","Nuke","ECS Season 8 Europe Week 3","BIG",13
"32","16/10/19","NiP","9","BIG","16","Inferno","ECS Season 8 Europe Week 3","NiP",7
"33","16/10/19","BIG","8","NiP","16","Mirage","ECS Season 8 Europe Week 3","BIG",8
"34","16/10/19","CR4ZY","16","Nemiga","14","Mirage","ESEA MDL Season 32 Europe","CR4ZY",2
"35","16/10/19","pro100","16","Virtus.pro","12","Train","ESEA MDL Season 32 Europe","pro100",4
"36","16/10/19","fnatic","14","Astralis","16","Train","ESL Pro League Season 10 Europe","Astralis",2
"37","16/10/19","Astralis","16","fnatic","14","Inferno","ESL Pro League Season 10 Europe","Astralis",2
"38","16/10/19","AVANGAR","16","Illuminar","8","Mirage","ESEA MDL Season 32 Europe","Illuminar",8
"39","16/10/19","Tricked","16","CR4ZY","4","Train","ESEA MDL Season 32 Europe","CR4ZY",12
"40","16/10/19","AGO","16","Virtus.pro","9","Inferno","ESEA MDL Season 32 Europe","Virtus.pro",7
"41","16/10/19","GamerLegion","16","AVANGAR","13","Overpass","ESEA MDL Season 32 Europe","GamerLegion",3
"42","16/10/19","Heretics","9","Virtus.pro","16","Nuke","ESEA MDL Season 32 Europe","Heretics",7
"43","15/10/19","Cloud9","16","FURIA","8","Overpass","ECS Season 8 North America Week 3","FURIA",8
"44","15/10/19","Cloud9","16","FURIA","11","Train","ECS Season 8 North America Week 3","Cloud9",5
"45","15/10/19","Cloud9","12","FURIA","16","Mirage","ECS Season 8 North America Week 3","FURIA",4
"46","15/10/19","North","17","Astralis","19","Train","ESL Pro League Season 10 Europe","Astralis",2
"47","15/10/19","Astralis","16","North","8","Inferno","ESL Pro League Season 10 Europe","North",8
"48","15/10/19","Nemiga","16","Illuminar","13","Mirage","ESEA MDL Season 32 Europe","Nemiga",3
"49","15/10/19","Aristocracy","8","fnatic","16","Mirage","ESL Pro League Season 10 Europe","Aristocracy",8
"50","15/10/19","Aristocracy","16","fnatic","8","Overpass","ESL Pro League Season 10 Europe","fnatic",8
"51","15/10/19","fnatic","16","Aristocracy","11","Train","ESL Pro League Season 10 Europe","fnatic",5
"52","15/10/19","Tricked","16","Virtus.pro","5","Nuke","ESEA MDL Season 32 Europe","Virtus.pro",11
"53","15/10/19","Tricked","12","Nemiga","16","Mirage","ESEA MDL Season 32 Europe","Nemiga",4
"54","15/10/19","GamerLegion","17","Nemiga","19","Dust2","ESEA MDL Season 32 Europe","Nemiga",2
"55","15/10/19","HAVU","16","Virtus.pro","7","Train","ESEA MDL Season 32 Europe","Virtus.pro",9
"56","14/10/19","INTZ","11","Cloud9","16","Nuke","ECS Season 8 North America Week 3","Cloud9",5
"57","14/10/19","Cloud9","23","INTZ","25","Mirage","ECS Season 8 North America Week 3","INTZ",2
"58","14/10/19","Cloud9","16","INTZ","8","Train","ECS Season 8 North America Week 3","INTZ",8
"59","14/10/19","North","11","fnatic","16","Inferno","ESL Pro League Season 10 Europe","fnatic",5
"60","14/10/19","fnatic","16","North","11","Nuke","ESL Pro League Season 10 Europe","fnatic",5
"61","14/10/19","BIG","16","FaZe","5","Train","ECS Season 8 Europe Week 3","FaZe",11
"62","14/10/19","FaZe","12","BIG","16","Nuke","ECS Season 8 Europe Week 3","BIG",4
"63","14/10/19","FaZe","16","BIG","4","Inferno","ECS Season 8 Europe Week 3","BIG",12
"64","14/10/19","Heretics","4","NiP","16","Inferno","ECS Season 8 Europe Week 3","Heretics",12
"65","14/10/19","Heretics","4","NiP","16","Dust2","ECS Season 8 Europe Week 3","Heretics",12
"66","14/10/19","Heretics","16","NiP","10","Nuke","ECS Season 8 Europe Week 3","Heretics",6
"67","14/10/19","Aristocracy","12","Astralis","16","Nuke","ESL Pro League Season 10 Europe","Astralis",4
"68","14/10/19","Astralis","16","Aristocracy","9","Vertigo","ESL Pro League Season 10 Europe","Aristocracy",7
"69","14/10/19","Tricked","16","Virtus.pro","9","Train","ECS Season 8 Europe Week 3","Virtus.pro",7
"70","14/10/19","Tricked","16","Virtus.pro","7","Overpass","ECS Season 8 Europe Week 3","Virtus.pro",9
"71","14/10/19","Complexity","16","eUnited","10","Inferno","ESL Pro League Season 10 Americas","Complexity",6
"72","14/10/19","eUnited","9","Complexity","16","Dust2","ESL Pro League Season 10 Americas","eUnited",7
"73","14/10/19","Complexity","10","eUnited","16","Overpass","ESL Pro League Season 10 Americas","eUnited",6
"74","13/10/19","Sprout","14","Heroic","16","Overpass","ESL Pro League Season 10 Europe","Heroic",2
"75","13/10/19","Heroic","16","Sprout","8","Inferno","ESL Pro League Season 10 Europe","Sprout",8
"76","13/10/19","Heroic","4","Sprout","16","Dust2","ESL Pro League Season 10 Europe","Heroic",12
"77","13/10/19","NiP","16","Vitality","7","Dust2","ESL Pro League Season 10 Europe","Vitality",9
"78","13/10/19","Vitality","6","NiP","16","Overpass","ESL Pro League Season 10 Europe","Vitality",10
"79","13/10/19","eUnited","11","INTZ","16","Dust2","DreamHack Open Atlanta 2019 Closed Qualifier","INTZ",5
"80","13/10/19","INTZ","8","eUnited","16","Overpass","DreamHack Open Atlanta 2019 Closed Qualifier","INTZ",8
"81","13/10/19","eUnited","13","INTZ","16","Mirage","DreamHack Open Atlanta 2019 Closed Qualifier","INTZ",3
"82","13/10/19","Illuminar","8","Heretics","16","Inferno","WePlay! Forge of Masters Season 2","Illuminar",8
"83","13/10/19","Heretics","16","Illuminar","12","Train","WePlay! Forge of Masters Season 2","Heretics",4
"84","13/10/19","Illuminar","16","Virtus.pro","5","Nuke","WePlay! Forge of Masters Season 2","Virtus.pro",11
"85","13/10/19","Illuminar","11","Virtus.pro","16","Train","WePlay! Forge of Masters Season 2","Virtus.pro",5
"86","13/10/19","Virtus.pro","13","Illuminar","16","Vertigo","WePlay! Forge of Masters Season 2","Illuminar",3
"87","13/10/19","Cloud9","12","eUnited","16","Overpass","ESL Pro League Season 10 Americas","eUnited",4
"88","13/10/19","eUnited","16","Cloud9","10","Mirage","ESL Pro League Season 10 Americas","eUnited",6
"89","13/10/19","Cloud9","16","eUnited","7","Nuke","ESL Pro League Season 10 Americas","eUnited",9
"90","12/10/19","Vitality","16","Heroic","13","Nuke","ESL Pro League Season 10 Europe","Vitality",3
"91","12/10/19","Heroic","13","Vitality","16","Dust2","ESL Pro League Season 10 Europe","Vitality",3
"92","12/10/19","Vitality","14","Heroic","16","Train","ESL Pro League Season 10 Europe","Heroic",2
"93","12/10/19","Sprout","14","NiP","16","Inferno","ESL Pro League Season 10 Europe","NiP",2
"94","12/10/19","Sprout","16","NiP","4","Nuke","ESL Pro League Season 10 Europe","NiP",12
"95","12/10/19","NiP","16","Sprout","13","Mirage","ESL Pro League Season 10 Europe","NiP",3
"96","12/10/19","Aristocracy","12","HAVU","16","Nuke","LOOT.BET Season 4","HAVU",4
"97","12/10/19","Aristocracy","13","HAVU","16","Dust2","LOOT.BET Season 4","HAVU",3
"98","12/10/19","Cloud9","11","Complexity","16","Mirage","ESL Pro League Season 10 Americas","Complexity",5
"99","12/10/19","Complexity","5","Cloud9","16","Overpass","ESL Pro League Season 10 Americas","Complexity",11
"100","12/10/19","Complexity","16","Cloud9","13","Dust2","ESL Pro League Season 10 Americas","Complexity",3
"101","11/10/19","Heroic","16","NiP","12","Nuke","ESL Pro League Season 10 Europe","Heroic",4
"102","11/10/19","NiP","7","Heroic","16","Vertigo","ESL Pro League Season 10 Europe","NiP",9
"103","11/10/19","Sprout","9","Vitality","16","Inferno","ESL Pro League Season 10 Europe","Sprout",7
"104","11/10/19","Sprout","16","Vitality","12","Dust2","ESL Pro League Season 10 Europe","Sprout",4
"105","11/10/19","Vitality","16","Sprout","12","Nuke","ESL Pro League Season 10 Europe","Vitality",4
"106","11/10/19","Illuminar","11","Heretics","16","Nuke","WePlay! Forge of Masters Season 2","Heretics",5
"107","11/10/19","Illuminar","22","Heretics","19","Inferno","WePlay! Forge of Masters Season 2","Illuminar",3
"108","11/10/19","Heretics","16","Illuminar","10","Overpass","WePlay! Forge of Masters Season 2","Heretics",6
"109","11/10/19","Movistar Riders","15","Virtus.pro","19","Inferno","United Masters League Season 2 Qualifier 2","Virtus.pro",4
"110","11/10/19","Movistar Riders","16","Virtus.pro","10","Mirage","United Masters League Season 2 Qualifier 2","Movistar Riders",6
"111","11/10/19","Movistar Riders","4","Virtus.pro","16","Train","United Masters League Season 2 Qualifier 2","Movistar Riders",12
"112","11/10/19","MIBR","14","FURIA","16","Mirage","ESL Pro League Season 10 Americas","FURIA",2
"113","11/10/19","FURIA","11","MIBR","16","Train","ESL Pro League Season 10 Americas","MIBR",5
"114","11/10/19","MIBR","5","FURIA","16","Overpass","ESL Pro League Season 10 Americas","MIBR",11
"115","10/10/19","OpTic","15","BIG","19","Mirage","ESL Pro League Season 10 Europe","BIG",4
"116","10/10/19","BIG","16","OpTic","13","Overpass","ESL Pro League Season 10 Europe","BIG",3
"117","10/10/19","mousesports","16","FaZe","12","Overpass","ESL Pro League Season 10 Europe","mousesports",4
"118","10/10/19","FaZe","17","mousesports","19","Train","ESL Pro League Season 10 Europe","mousesports",2
"119","10/10/19","Illuminar","5","GamerLegion","16","Inferno","ESEA MDL Season 32 Europe","Illuminar",11
"120","10/10/19","Heretics","12","Movistar Riders","16","Inferno","United Masters League Season 2 Qualifier 2","Movistar Riders",4
"121","10/10/19","Tricked","7","Winstrike","16","Dust2","SECTOR: MOSTBET","Tricked",9
"122","10/10/19","Winstrike","16","Tricked","14","Nuke","SECTOR: MOSTBET","Winstrike",2
"123","10/10/19","Envy","16","FURIA","14","Vertigo","ESL Pro League Season 10 Americas","Envy",2
"124","10/10/19","Envy","16","FURIA","14","Mirage","ESL Pro League Season 10 Americas","Envy",2
"125","10/10/19","FURIA","16","Envy","9","Nuke","ESL Pro League Season 10 Americas","Envy",7
"126","9/10/19","OpTic","7","mousesports","16","Train","ESL Pro League Season 10 Europe","OpTic",9
"127","9/10/19","OpTic","15","mousesports","19","Vertigo","ESL Pro League Season 10 Europe","mousesports",4
"128","9/10/19","BIG","8","FaZe","16","Inferno","ESL Pro League Season 10 Europe","BIG",8
"129","9/10/19","FaZe","14","BIG","16","Mirage","ESL Pro League Season 10 Europe","BIG",2
"130","9/10/19","FaZe","16","BIG","11","Nuke","ESL Pro League Season 10 Europe","FaZe",5
"131","9/10/19","Virtus.pro","11","Illuminar","16","Nuke","United Masters League Season 2 Qualifier 2","Illuminar",5
"132","9/10/19","Envy","12","MIBR","16","Mirage","ESL Pro League Season 10 Americas","MIBR",4
"133","9/10/19","MIBR","16","Envy","5","Inferno","ESL Pro League Season 10 Americas","Envy",11
"134","8/10/19","OpTic","11","FaZe","16","Mirage","ESL Pro League Season 10 Europe","FaZe",5
"135","8/10/19","FaZe","16","OpTic","12","Nuke","ESL Pro League Season 10 Europe","FaZe",4
"136","8/10/19","Winstrike","14","Aristocracy","16","Dust2","SECTOR: MOSTBET","Aristocracy",2
"137","8/10/19","Aristocracy","16","Winstrike","10","Overpass","SECTOR: MOSTBET","Aristocracy",6
"138","8/10/19","Winstrike","16","Aristocracy","3","Nuke","SECTOR: MOSTBET","Aristocracy",13
"139","8/10/19","AVANGAR","16","HAVU","5","Inferno","ESEA MDL Season 32 Europe","HAVU",11
"140","8/10/19","BIG","12","mousesports","16","Inferno","ESL Pro League Season 10 Europe","mousesports",4
"141","8/10/19","mousesports","7","BIG","16","Dust2","ESL Pro League Season 10 Europe","mousesports",9
"142","8/10/19","mousesports","16","BIG","13","Train","ESL Pro League Season 10 Europe","mousesports",3
"143","8/10/19","AGO","16","CR4ZY","13","Nuke","ESEA MDL Season 32 Europe","AGO",3
"144","6/10/19","Sprout","16","Aristocracy","10","Nuke","WePlay! Forge of Masters Season 2","Sprout",6
"145","6/10/19","Sprout","7","Aristocracy","16","Train","WePlay! Forge of Masters Season 2","Sprout",9
"146","6/10/19","Aristocracy","11","Sprout","16","Dust2","WePlay! Forge of Masters Season 2","Sprout",5
"147","6/10/19","Heroic","16","Tricked","6","Overpass","StarSeries i-League Season 8 Europe Qualifier","Tricked",10
"148","6/10/19","Heroic","25","Tricked","23","Inferno","StarSeries i-League Season 8 Europe Qualifier","Heroic",2
"149","6/10/19","Vitality","13","fnatic","16","Mirage","DreamHack Masters Malmö 2019","fnatic",3
"150","6/10/19","Vitality","16","fnatic","19","Inferno","DreamHack Masters Malmö 2019","fnatic",3
"151","6/10/19","fnatic","14","Vitality","16","Dust2","DreamHack Masters Malmö 2019","Vitality",2
"152","5/10/19","Tricked","16","Sprout","6","Vertigo","StarSeries i-League Season 8 Europe Qualifier","Sprout",10
"153","5/10/19","Tricked","16","Sprout","13","Overpass","StarSeries i-League Season 8 Europe Qualifier","Tricked",3
"154","5/10/19","Tricked","16","Sprout","19","Mirage","StarSeries i-League Season 8 Europe Qualifier","Sprout",3
"155","5/10/19","Natus Vincere","11","Vitality","16","Dust2","DreamHack Masters Malmö 2019","Vitality",5
"156","5/10/19","Vitality","16","Natus Vincere","4","Overpass","DreamHack Masters Malmö 2019","Natus Vincere",12
"157","5/10/19","Natus Vincere","16","Vitality","6","Nuke","DreamHack Masters Malmö 2019","Vitality",10
"158","5/10/19","Heroic","16","pro100","8","Nuke","StarSeries i-League Season 8 Europe Qualifier","pro100",8
"159","5/10/19","Heroic","16","pro100","7","Overpass","StarSeries i-League Season 8 Europe Qualifier","pro100",9
"160","5/10/19","Heretics","16","Movistar Riders","14","Inferno","La Copa 2019","Heretics",2
"161","5/10/19","Movistar Riders","6","Heretics","16","Mirage","La Copa 2019","Movistar Riders",10
"162","5/10/19","Heretics","10","Movistar Riders","16","Vertigo","La Copa 2019","Movistar Riders",6
"163","5/10/19","fnatic","25","Astralis","23","Nuke","DreamHack Masters Malmö 2019","fnatic",2
"164","5/10/19","Astralis","9","fnatic","16","Overpass","DreamHack Masters Malmö 2019","Astralis",7
"165","5/10/19","Aristocracy","12","Tricked","16","Overpass","WePlay! Forge of Masters Season 2","Tricked",4
"166","5/10/19","Tricked","16","Aristocracy","9","Dust2","WePlay! Forge of Masters Season 2","Aristocracy",7
"167","4/10/19","Tricked","16","Aristocracy","11","Overpass","StarSeries i-League Season 8 Europe Qualifier","Tricked",5
"168","4/10/19","Tricked","17","Aristocracy","19","Dust2","StarSeries i-League Season 8 Europe Qualifier","Aristocracy",2
"169","4/10/19","Vitality","16","mousesports","13","Dust2","DreamHack Masters Malmö 2019","Vitality",3
"170","4/10/19","mousesports","16","Vitality","12","Inferno","DreamHack Masters Malmö 2019","mousesports",4
"171","4/10/19","Vitality","16","mousesports","14","Mirage","DreamHack Masters Malmö 2019","Vitality",2
"172","4/10/19","Movistar Riders","13","Aristocracy","16","Nuke","United Masters League Season 2 Qualifier 1","Aristocracy",3
"173","4/10/19","Aristocracy","11","Movistar Riders","16","Train","United Masters League Season 2 Qualifier 1","Movistar Riders",5
"174","4/10/19","Movistar Riders","15","Aristocracy","19","Vertigo","United Masters League Season 2 Qualifier 1","Aristocracy",4
"175","4/10/19","Sprout","16","BIG","13","Inferno","StarSeries i-League Season 8 Europe Qualifier","Sprout",3
"176","4/10/19","Sprout","16","BIG","13","Overpass","StarSeries i-League Season 8 Europe Qualifier","Sprout",3
"177","4/10/19","Sprout","13","BIG","16","Nuke","StarSeries i-League Season 8 Europe Qualifier","BIG",3
"178","4/10/19","NiP","9","fnatic","16","Overpass","DreamHack Masters Malmö 2019","NiP",7
"179","4/10/19","fnatic","8","NiP","16","Nuke","DreamHack Masters Malmö 2019","fnatic",8
"180","4/10/19","fnatic","16","NiP","12","Dust2","DreamHack Masters Malmö 2019","fnatic",4
"181","3/10/19","Virtus.pro","26","Heroic","28","Mirage","ECS Season 8 Europe Week 2","Heroic",2
"182","3/10/19","Virtus.pro","14","Heroic","16","Dust2","ECS Season 8 Europe Week 2","Heroic",2
"183","3/10/19","Natus Vincere","16","NiP","13","Inferno","DreamHack Masters Malmö 2019","Natus Vincere",3
"184","3/10/19","NiP","8","Natus Vincere","16","Overpass","DreamHack Masters Malmö 2019","NiP",8
"185","3/10/19","GamerLegion","12","Windigo","16","Dust2","WePlay! Forge of Masters Season 2","Windigo",4
"186","3/10/19","Windigo","10","GamerLegion","16","Inferno","WePlay! Forge of Masters Season 2","GamerLegion",6
"187","3/10/19","GamerLegion","14","Windigo","16","Train","WePlay! Forge of Masters Season 2","Windigo",2
"188","3/10/19","Movistar Riders","7","AVANGAR","16","Nuke","ESEA MDL Season 32 Europe","Movistar Riders",9
"189","3/10/19","Heroic","16","Nemiga","9","Inferno","StarSeries i-League Season 8 Europe Qualifier","Nemiga",7
"190","3/10/19","Heroic","19","Nemiga","17","Nuke","StarSeries i-League Season 8 Europe Qualifier","Heroic",2
"191","3/10/19","Astralis","16","Vitality","14","Dust2","DreamHack Masters Malmö 2019","Astralis",2
"192","3/10/19","Vitality","5","Astralis","16","Vertigo","DreamHack Masters Malmö 2019","Vitality",11
"193","3/10/19","FURIA","5","fnatic","16","Inferno","DreamHack Masters Malmö 2019","FURIA",11
"194","3/10/19","fnatic","34","FURIA","32","Overpass","DreamHack Masters Malmö 2019","fnatic",2
"195","3/10/19","mousesports","16","OpTic","13","Nuke","DreamHack Masters Malmö 2019","mousesports",3
"196","3/10/19","OpTic","10","mousesports","16","Mirage","DreamHack Masters Malmö 2019","mousesports",6
"197","2/10/19","forZe","16","pro100","4","Mirage","WePlay! Forge of Masters Season 2","pro100",12
"198","2/10/19","pro100","16","forZe","4","Inferno","WePlay! Forge of Masters Season 2","forZe",12
"199","2/10/19","forZe","16","pro100","11","Overpass","WePlay! Forge of Masters Season 2","forZe",5
"200","2/10/19","Heroic","19","AVANGAR","17","Inferno","ECS Season 8 Europe Week 2","Heroic",2
"201","2/10/19","Heroic","19","AVANGAR","16","Dust2","ECS Season 8 Europe Week 2","Heroic",3
"202","2/10/19","Movistar Riders","16","Virtus.pro","3","Train","United Masters League Season 2 Qualifier 1","Virtus.pro",13
"203","2/10/19","fnatic","16","G2","5","Train","DreamHack Masters Malmö 2019","G2",11
"204","2/10/19","G2","4","fnatic","16","Inferno","DreamHack Masters Malmö 2019","G2",12
"205","2/10/19","AGO","14","AVANGAR","16","Inferno","ESEA MDL Season 32 Europe","AVANGAR",2
"206","2/10/19","FURIA","16","ENCE","9","Train","DreamHack Masters Malmö 2019","ENCE",7
"207","2/10/19","ENCE","13","FURIA","16","Mirage","DreamHack Masters Malmö 2019","FURIA",3
"208","2/10/19","Natus Vincere","16","OpTic","12","Nuke","DreamHack Masters Malmö 2019","Natus Vincere",4
"209","2/10/19","OpTic","8","Natus Vincere","16","Dust2","DreamHack Masters Malmö 2019","OpTic",8
"210","2/10/19","Liquid","16","North","6","Dust2","DreamHack Masters Malmö 2019","North",10
"211","2/10/19","North","10","Liquid","16","Mirage","DreamHack Masters Malmö 2019","Liquid",6
"212","2/10/19","Liquid","14","North","16","Inferno","DreamHack Masters Malmö 2019","North",2
"213","1/10/19","fnatic","16","TYLOO","10","Dust2","DreamHack Masters Malmö 2019","fnatic",6
"214","1/10/19","TYLOO","2","fnatic","16","Mirage","DreamHack Masters Malmö 2019","TYLOO",14
"215","1/10/19","fnatic","13","TYLOO","16","Inferno","DreamHack Masters Malmö 2019","TYLOO",3
"216","1/10/19","Vitality","16","ENCE","10","Dust2","DreamHack Masters Malmö 2019","Vitality",6
"217","1/10/19","Vitality","11","ENCE","16","Nuke","DreamHack Masters Malmö 2019","ENCE",5
"218","1/10/19","ENCE","14","Vitality","16","Inferno","DreamHack Masters Malmö 2019","Vitality",2
"219","1/10/19","Tricked","11","Virtus.pro","16","Mirage","ECS Season 8 Europe Week 2","Virtus.pro",5
"220","1/10/19","Virtus.pro","16","Tricked","9","Nuke","ECS Season 8 Europe Week 2","Tricked",7
"221","1/10/19","HAVU","19","Movistar Riders","15","Train","ESEA MDL Season 32 Europe","HAVU",4
"222","1/10/19","Movistar Riders","8","Tricked","16","Train","ESEA MDL Season 32 Europe","Movistar Riders",8
"223","1/10/19","pro100","9","HAVU","16","Train","ESEA MDL Season 32 Europe","pro100",7
"224","1/10/19","Envy","9","FURIA","16","Mirage","DreamHack Masters Malmö 2019","Envy",7
"225","1/10/19","FURIA","10","Envy","16","Nuke","DreamHack Masters Malmö 2019","Envy",6
"226","1/10/19","Envy","8","FURIA","16","Vertigo","DreamHack Masters Malmö 2019","Envy",8
"227","1/10/19","Astralis","16","G2","7","Dust2","DreamHack Masters Malmö 2019","G2",9
"228","1/10/19","G2","16","Astralis","19","Nuke","DreamHack Masters Malmö 2019","Astralis",3
"229","1/10/19","GamerLegion","12","Nemiga","16","Inferno","StarSeries i-League Season 8 Europe Qualifier","Nemiga",4
"230","1/10/19","Nemiga","16","GamerLegion","14","Mirage","StarSeries i-League Season 8 Europe Qualifier","Nemiga",2
"231","1/10/19","GamerLegion","16","Nemiga","8","Overpass","StarSeries i-League Season 8 Europe Qualifier","Nemiga",8
"232","1/10/19","mousesports","9","NiP","16","Inferno","DreamHack Masters Malmö 2019","mousesports",7
"233","1/10/19","Windigo","16","Tricked","5","Train","SECTOR: MOSTBET","Tricked",11
"234","1/10/19","Tricked","14","Windigo","16","Overpass","SECTOR: MOSTBET","Windigo",2
"235","1/10/19","OpTic","16","Liquid","9","Overpass","DreamHack Masters Malmö 2019","Liquid",7
"236","1/10/19","North","8","Natus Vincere","16","Overpass","DreamHack Masters Malmö 2019","North",8
"237","1/10/19","Vitality","16","TYLOO","7","Inferno","DreamHack Masters Malmö 2019","TYLOO",9
"238","1/10/19","fnatic","7","ENCE","16","Mirage","DreamHack Masters Malmö 2019","fnatic",9
"239","1/10/19","G2","16","FURIA","14","Train","DreamHack Masters Malmö 2019","G2",2
"240","1/10/19","Envy","7","Astralis","16","Train","DreamHack Masters Malmö 2019","Envy",9
"241","30/9/19","BIG","10","Heroic","16","Nuke","ECS Season 8 Europe Week 2","Heroic",6
"242","30/9/19","Heroic","16","BIG","13","Dust2","ECS Season 8 Europe Week 2","Heroic",3
"243","29/9/19","Movistar Riders","20","Sprout","22","Overpass","StarSeries i-League Season 8 Europe Qualifier","Sprout",2
"244","29/9/19","Movistar Riders","16","Sprout","8","Inferno","StarSeries i-League Season 8 Europe Qualifier","Sprout",8
"245","29/9/19","Sprout","16","Movistar Riders","9","Nuke","StarSeries i-League Season 8 Europe Qualifier","Movistar Riders",7
"246","29/9/19","Movistar Riders","5","pro100","16","Mirage","StarSeries i-League Season 8 Europe Qualifier","Movistar Riders",11
"247","29/9/19","pro100","11","Movistar Riders","16","Inferno","StarSeries i-League Season 8 Europe Qualifier","Movistar Riders",5
"248","29/9/19","Movistar Riders","13","pro100","16","Overpass","StarSeries i-League Season 8 Europe Qualifier","pro100",3
"249","28/9/19","Heretics","13","Sprout","16","Overpass","StarSeries i-League Season 8 Europe Qualifier","Sprout",3
"250","28/9/19","Heretics","10","Sprout","16","Inferno","StarSeries i-League Season 8 Europe Qualifier","Sprout",6
"251","28/9/19","Sprout","3","Heretics","16","Dust2","StarSeries i-League Season 8 Europe Qualifier","Sprout",13
"252","28/9/19","Liquid","13","Astralis","16","Overpass","ESL One New York 2019","Astralis",3
"253","28/9/19","Astralis","9","Liquid","16","Dust2","ESL One New York 2019","Astralis",7
"254","28/9/19","Liquid","9","Astralis","16","Vertigo","ESL One New York 2019","Liquid",7
"255","28/9/19","Sprout","13","Movistar Riders","16","Train","StarSeries i-League Season 8 Europe Qualifier","Movistar Riders",3
"256","28/9/19","Sprout","19","Movistar Riders","16","Inferno","StarSeries i-League Season 8 Europe Qualifier","Sprout",3
"257","28/9/19","Sprout","13","Movistar Riders","16","Nuke","StarSeries i-League Season 8 Europe Qualifier","Movistar Riders",3
"258","28/9/19","Heretics","12","pro100","16","Dust2","StarSeries i-League Season 8 Europe Qualifier","pro100",4
"259","28/9/19","pro100","17","Heretics","19","Inferno","StarSeries i-League Season 8 Europe Qualifier","Heretics",2
"260","28/9/19","Heretics","11","pro100","16","Train","StarSeries i-League Season 8 Europe Qualifier","pro100",5
"261","27/9/19","OpTic","7","Astralis","16","Dust2","ESL One New York 2019","OpTic",9
"262","27/9/19","Astralis","16","OpTic","6","Nuke","ESL One New York 2019","OpTic",10
"263","27/9/19","ENCE","11","G2","16","Overpass","ESL One New York 2019","G2",5
"264","27/9/19","G2","11","ENCE","16","Nuke","ESL One New York 2019","ENCE",5
"265","27/9/19","ENCE","17","G2","19","Dust2","ESL One New York 2019","G2",2
"266","27/9/19","GamerLegion","10","Aristocracy","16","Vertigo","StarSeries i-League Season 8 Europe Qualifier","Aristocracy",6
