"","date","team1","team1_score","team2","team2_score","map","event","winner","win_margin"
"1423","16/5/19","OpTic","7","HellRaisers","16","Mirage","ESL Pro League Season 9 Europe","OpTic",9
"1424","16/5/19","HellRaisers","16","OpTic","11","Inferno","ESL Pro League Season 9 Europe","HellRaisers",5
"1425","16/5/19","Vitality","16","Epsilon","8","Vertigo","ESEA MDL Season 31 Europe","Epsilon",8
"1426","16/5/19","forZe","16","pro100","4","Nuke","ESEA MDL Season 31 Europe","pro100",12
"1427","16/5/19","Chaos","8","x-kom","16","Overpass","LOOT.BET HotShot Series Season 3","Chaos",8
"1428","16/5/19","Chaos","16","x-kom","11","Vertigo","LOOT.BET HotShot Series Season 3","Chaos",5
"1429","16/5/19","x-kom","16","Chaos","9","Inferno","LOOT.BET HotShot Series Season 3","Chaos",7
"1430","16/5/19","Complexity","13","MIBR","16","Mirage","ESL Pro League Season 9 Americas","MIBR",3
"1431","16/5/19","Complexity","1","MIBR","16","Overpass","ESL Pro League Season 9 Americas","MIBR",15
"1432","16/5/19","MIBR","11","Complexity","16","Dust2","ESL Pro League Season 9 Americas","Complexity",5
"1433","15/5/19","Epsilon","16","Nemiga","12","Dust2","LOOT.BET HotShot Series Season 3","Epsilon",4
"1434","15/5/19","Epsilon","17","Nemiga","19","Overpass","LOOT.BET HotShot Series Season 3","Nemiga",2
"1435","15/5/19","Aristocracy","16","OpTic","11","Nuke","ESL Pro League Season 9 Europe","Aristocracy",5
"1436","15/5/19","OpTic","20","Aristocracy","22","Mirage","ESL Pro League Season 9 Europe","Aristocracy",2
"1437","15/5/19","mousesports","7","NiP","16","Inferno","ECS Season 7 Europe Week 4","mousesports",9
"1438","15/5/19","NiP","16","mousesports","13","Nuke","ECS Season 7 Europe Week 4","NiP",3
"1439","15/5/19","Movistar Riders","16","pro100","8","Mirage","ESEA MDL Season 31 Europe","pro100",8
"1440","15/5/19","Nemiga","19","Chaos","22","Inferno","LOOT.BET HotShot Series Season 3","Chaos",3
"1441","15/5/19","Chaos","11","Nemiga","16","Vertigo","LOOT.BET HotShot Series Season 3","Nemiga",5
"1442","15/5/19","Nemiga","9","Chaos","16","Overpass","LOOT.BET HotShot Series Season 3","Nemiga",7
"1443","15/5/19","x-kom","16","Epsilon","9","Inferno","LOOT.BET HotShot Series Season 3","Epsilon",7
"1444","15/5/19","Epsilon","16","x-kom","14","Dust2","LOOT.BET HotShot Series Season 3","Epsilon",2
"1445","15/5/19","Epsilon","9","x-kom","16","Vertigo","LOOT.BET HotShot Series Season 3","Epsilon",7
"1446","15/5/19","HAVU","12","Vitality","16","Mirage","ESEA MDL Season 31 Europe","Vitality",4
"1447","15/5/19","HellRaisers","12","fnatic","16","Train","ESL Pro League Season 9 Europe","fnatic",4
"1448","15/5/19","fnatic","15","HellRaisers","19","Overpass","ESL Pro League Season 9 Europe","HellRaisers",4
"1449","15/5/19","HellRaisers","12","fnatic","16","Mirage","ESL Pro League Season 9 Europe","fnatic",4
"1450","15/5/19","HAVU","16","Epsilon","11","Train","ESEA MDL Season 31 Europe","HAVU",5
"1451","15/5/19","Vitality","16","pro100","5","Train","ESEA MDL Season 31 Europe","pro100",11
