date,team1,team1_score,team2,team2_score,map,event,winner,win_margin
9/2/19,CeX,6,reflex,16,Overpass,epic26,CeX,10
9/2/19,reflex,8,CeX,16,Inferno,epic26,reflex,8
9/2/19,In a Hurry,6,Jaguar,16,Dust2,ESL LA League Season 3 - Northern Cone,In a Hurry,10
9/2/19,Jaguar,16,In a Hurry,2,Train,ESL LA League Season 3 - Northern Cone,In a Hurry,14
9/2/19,Furious,16,All Knights,8,Nuke,ESL LA League Season 3 - Southern Cone,All Knights,8
9/2/19,All Knights,14,Furious,16,Dust2,ESL LA League Season 3 - Southern Cone,Furious,2
9/2/19,Water Walkers,18,CeX,22,Inferno,epic26,CeX,4
9/2/19,CeX,16,Water Walkers,14,Overpass,epic26,CeX,2
9/2/19,Niknexus,16,Assault Arena,4,Mirage,ESL LA League Season 3 - Northern Cone,Assault Arena,12
9/2/19,Assault Arena,12,Niknexus,16,Dust2,ESL LA League Season 3 - Northern Cone,Niknexus,4
9/2/19,Windigo,13,x-kom,16,Mirage,LOOT.BET Season 1,x-kom,3
9/2/19,x-kom,14,Windigo,16,Overpass,LOOT.BET Season 1,Windigo,2
9/2/19,Windigo,9,x-kom,16,Cache,LOOT.BET Season 1,Windigo,7
9/2/19,AVANGAR,16,Heavy KnockOut,1,Dust2,NoxFire League Season 2,AVANGAR,15
9/2/19,Revelation,13,reflex,16,Overpass,epic26,reflex,3
9/2/19,Revelation,6,reflex,16,Mirage,epic26,Revelation,10
9/2/19,reflex,5,Revelation,16,Train,epic26,reflex,11
9/2/19,London Slayers,16,London,10,Dust2,epic26,London Slayers,6
9/2/19,London Slayers,8,London,16,Mirage,epic26,London Slayers,8
9/2/19,NoChance,16,unknown,5,Inferno,LOOT.BET HotShot Series Season 1,unknown,11
9/2/19,NoChance,12,unknown,16,Train,LOOT.BET HotShot Series Season 1,unknown,4
9/2/19,unknown,3,NoChance,16,Dust2,LOOT.BET HotShot Series Season 1,unknown,13
9/2/19,DreamEaters,16,Unique,5,Overpass,OGA Counter PIT Season 4,Unique,11
9/2/19,DreamEaters,16,Unique,9,Nuke,OGA Counter PIT Season 4,Unique,7
9/2/19,London,13,London Slayers,16,Overpass,epic26,London Slayers,3
9/2/19,HAVU,6,Winstrike,16,Dust2,LOOT.BET Season 1,HAVU,10
9/2/19,Winstrike,13,HAVU,16,Nuke,LOOT.BET Season 1,HAVU,3
9/2/19,Winstrike,16,HAVU,4,Train,LOOT.BET Season 1,HAVU,12
9/2/19,reflex,3,London Slayers,16,Train,epic26,reflex,13
9/2/19,London Slayers,16,reflex,8,Inferno,epic26,reflex,8
9/2/19,Nemiga,14,DreamEaters,16,Overpass,QIWI Teamplay Season 3,DreamEaters,2
9/2/19,DreamEaters,16,Nemiga,9,Dust2,QIWI Teamplay Season 3,Nemiga,7
9/2/19,x6tence Galaxy,6,AVANGAR,16,Dust2,LOOT.BET Season 1,x6tence Galaxy,10
9/2/19,x6tence Galaxy,12,AVANGAR,16,Mirage,LOOT.BET Season 1,AVANGAR,4
